video_id,title,description,channel,published,views,likes,comments
u_ToQFPlarY,Glossier. Full Face Review + Haul! | by tashaleelyn,"NEW VIDEOS MONDAY, WEDNESDAY + FRIDAY! Please Subscribe! Click HERE - http://bit.ly/1jFSVD2 PRODUCTS ...",Tasha Leelyn,2017-07-27T20:37:40Z,26184,988.0,58.0
QCwNCBJaoec,GLOSSIER MAKEUP REVIEW/TUTORIAL | 2019,I am now a believer. I LOVE Glossier's products! Cannot believe how long it took me to get here but I'm obsessed & I had to share ...,Alexis Therese Castillo,2019-02-28T20:14:55Z,7281,110.0,8.0
QCwNCBJaoec,GLOSSIER MAKEUP REVIEW/TUTORIAL | 2019,I am now a believer. I LOVE Glossier's products! Cannot believe how long it took me to get here but I'm obsessed & I had to share ...,Alexis Therese Castillo,2019-02-28T20:14:55Z,7281,110.0,8.0
F8Lcelshg0w,✨ Glossier Skin Tint Demo Review and Updated Thoughts in the Description!,Hi friends! Today I'm trying out the Glossier Skin Tint for the first time. What you're seeing here are my initial thoughts and ...,Olive and Brown,2022-02-25T18:00:05Z,43,2.0,0.0
F8Lcelshg0w,✨ Glossier Skin Tint Demo Review and Updated Thoughts in the Description!,Hi friends! Today I'm trying out the Glossier Skin Tint for the first time. What you're seeing here are my initial thoughts and ...,Olive and Brown,2022-02-25T18:00:05Z,43,2.0,0.0
G6C83vi1P-8,COLOURPOP PRETTY FRESH vs GLOSSIER SKIN TINT | Side-By-Side Wear Test,It's a skin tint face-off! Today I'm wear-testing Colourpop's Pretty Fresh collection foundation and concealer against the tried and ...,Kackie Reviews Beauty,2020-03-11T15:16:15Z,26913,796.0,67.0
G6C83vi1P-8,COLOURPOP PRETTY FRESH vs GLOSSIER SKIN TINT | Side-By-Side Wear Test,It's a skin tint face-off! Today I'm wear-testing Colourpop's Pretty Fresh collection foundation and concealer against the tried and ...,Kackie Reviews Beauty,2020-03-11T15:16:15Z,26913,796.0,67.0
tDET_HYhPw4,GLOSSIER ON ACNE PRONE SKIN | Becoming a Glossier Rep + Honest Review,"hey there! this is glossier vs. my oh-so acne prone, combination, frustrated skin. if you have any questions at all, feel free to ...",joana sosa,2018-01-07T23:00:03Z,40938,571.0,56.0
-TAVo6EtE_0,FULL FACE OF GLOSSIER + REVIEW (Skin Tint G5),Hi Lovelies! I'm so excited to finally review Glossier products on my channel! I forgot to mention in the video that I did not purchase ...,fluorescentjas,2019-11-05T00:45:06Z,4479,119.0,9.0
F8Lcelshg0w,✨ Glossier Skin Tint Demo Review and Updated Thoughts in the Description!,Hi friends! Today I'm trying out the Glossier Skin Tint for the first time. What you're seeing here are my initial thoughts and ...,Olive and Brown,2022-02-25T18:00:05Z,43,2.0,0.0
F8Lcelshg0w,✨ Glossier Skin Tint Demo Review and Updated Thoughts in the Description!,Hi friends! Today I'm trying out the Glossier Skin Tint for the first time. What you're seeing here are my initial thoughts and ...,Olive and Brown,2022-02-25T18:00:05Z,43,2.0,0.0
G6C83vi1P-8,COLOURPOP PRETTY FRESH vs GLOSSIER SKIN TINT | Side-By-Side Wear Test,It's a skin tint face-off! Today I'm wear-testing Colourpop's Pretty Fresh collection foundation and concealer against the tried and ...,Kackie Reviews Beauty,2020-03-11T15:16:15Z,26913,796.0,67.0
G6C83vi1P-8,COLOURPOP PRETTY FRESH vs GLOSSIER SKIN TINT | Side-By-Side Wear Test,It's a skin tint face-off! Today I'm wear-testing Colourpop's Pretty Fresh collection foundation and concealer against the tried and ...,Kackie Reviews Beauty,2020-03-11T15:16:15Z,26913,796.0,67.0
Xhfp46Fi6F8,Full Face using Glossier! | Honest Review,"Full Face using Glossier! | Honest Review Thank you Glossier for sponsoring this video! Today, let's do a full face of Glossier.",Hana Belle,2019-11-26T21:37:19Z,2772,92.0,34.0
_T4w_4rTwTc,GLOSSIER | Perfecting Skin Tint - Caramel Swatches is now Autumn Swatches,GLOSSIER | Perfecting Skin Tint - G5 - https://go.shopmy.us/p-1220159 Visit http://autumnswatches.com to view and search more ...,Autumn Swatches,2023-05-12T17:19:44Z,2114,34.0,1.0
QCwNCBJaoec,GLOSSIER MAKEUP REVIEW/TUTORIAL | 2019,I am now a believer. I LOVE Glossier's products! Cannot believe how long it took me to get here but I'm obsessed & I had to share ...,Alexis Therese Castillo,2019-02-28T20:14:55Z,7281,110.0,8.0
QCwNCBJaoec,GLOSSIER MAKEUP REVIEW/TUTORIAL | 2019,I am now a believer. I LOVE Glossier's products! Cannot believe how long it took me to get here but I'm obsessed & I had to share ...,Alexis Therese Castillo,2019-02-28T20:14:55Z,7281,110.0,8.0
NeMdG2fqtGU,"full face glossier haul + unboxing, first impression and review","hi chicas! hope you enjoy my glossier haul + full face try-on, review and unboxing! love lots. get 10% off on your first purchase ...",iya omaña,2021-08-29T10:00:21Z,72285,2375.0,61.0
sl1llBcta7c,Glossier for 40 year old skin | Review,Hi friends! Come hang out with me while I share all my products perfect for mature skin with Glossier! From skincare essentials to ...,Station Jaya,2023-05-21T14:43:13Z,993,27.0,0.0
IvVuvlGItro,GLOSSIER REVIEW • RockyApplebee,Glossier Review - my first impressions. SUBSCRIBE HERE!,Rocky Applebee,2020-07-30T16:00:05Z,262,11.0,4.0
8FyOsyfGqug,best Glossier Makeup products #makeup,make from glossier reviews of glossier makeup cosmetics #makeupglossier #glossier #glossiercosmetics #bestmakeup.,toonic .online,2021-02-23T17:19:12Z,1687,71.0,0.0
4___tu5yPGM,Glossier First Impression/Full Face Review+Giveaway,HI! this is my Full Face Of Glossier make up look and first impressions. I try out old favorites and new glossier products for the first ...,Kyla Danae,2020-06-14T01:40:07Z,543,46.0,74.0
VSIkK16voRY,NEW SHADES by Glossier Skin Tint and Stretch Concealer in G5,"Hey everyone, hope your all doing well. New products, New Year! Wishing you all the best for the new year! Products mentioned: ...",Jay,2019-02-06T18:24:17Z,6852,96.0,17.0
1mn0uiseFPE,Glossier Perfecting Skin Tint + Stretch Concealer Review (Oily Skin),Thanks for watching! Subscribe for more videos! Perfecting Skin Tint: https://bit.ly/2FhLyP7 Stretchable Concealer: ...,AmandaSushma,2020-01-05T15:04:41Z,18675,311.0,39.0
_5312UMYqyw,Glossier Makeup Review: Dark Skin Edition,Time stamps: Perfecting Skin Tint (deep and rich): 00:25 Stretch Concealer: (deep and rich): 03:20 Wowder (dark/deep): 05:30 ...,Tuttie,2018-11-26T01:59:41Z,951,35.0,5.0
XUsMfm7d-eU,GLOSSIER @ SEPHORA: What&#39;s Worth It &amp; What&#39;s Not,"Glossier and I go way back. I became a Glossier rep back in 2017, and it was kind of magical, honestly. Belonging to something, a ...",Kackie Reviews Beauty,2023-03-06T17:09:08Z,40324,1437.0,200.0
glqQO5UfG8U,"Glossier Haul &amp; Review: Perfecting Skin Tint, Stretch Concealer &amp; Cloud Paint",http://www.glossier.com follow me on Instagram @beautyhealthandcurls visit my blog at http://www.beautyhealthandcurls.com.,I Am Anyke Brown ,2017-03-08T13:23:18Z,3022,43.0,14.0
SaZUWdmllB4,"GLOSSIER: Skin Tint (G2 &amp; G3), Stretch Concealer + Wowder Demo on Dark Skin + Review","Black Girls Who Blog, an organization started by the fabulous Morgan Pitts (follow their IG: https://tsabd.com/2BLqPlm), recently ...",The Style and Beauty Doctor,2019-02-22T19:00:01Z,19685,495.0,52.0
IVlir1hUTDo,Glossier Perfecting Skin Tint Review by Nancie Rooney,Glossier Perfecting Skin Tint: In the land between bare skin and makeup makeup exists the imperceptible wash of color that is ...,The Desire Company,2020-11-16T14:53:42Z,103,1.0,0.0
fMFVmnUqz0I,Full Face of Glossier Makeup - TINA TRIES IT,"Hey guys in this episode of Tina Tries It, I test out the Glossier makeup range! A lot of you have requested this video. Sorry it took ...",Tina Yong,2018-02-09T10:48:33Z,2034203,55039.0,1935.0
